Allele Family,M counts,Other counts,T counts,Total
07,251053 (100.00%),1 (0.00%),1 (0.00%),251055.0
08,199301 (100.00%),-,1 (0.00%),199302.0
13,1 (0.00%),-,54456 (100.00%),54457.0
14,84890 (100.00%),-,-,84890.0
15,2 (0.00%),-,190429 (100.00%),190431.0
18,2 (0.00%),-,95598 (100.00%),95600.0
27,-,-,78897 (100.00%),78897.0
35,33 (0.01%),-,235193 (99.99%),235226.0
37,-,-,29684 (100.00%),29684.0
38,45774 (100.00%),-,-,45774.0
39,69503 (100.00%),-,1 (0.00%),69504.0
40,2 (0.00%),-,142805 (100.00%),142807.0
41,-,-,17724 (100.00%),17724.0
42,11772 (100.00%),-,-,11772.0
44,-,-,215355 (100.00%),215355.0
45,-,-,17870 (100.00%),17870.0
46,-,-,9781 (100.00%),9781.0
47,-,-,4074 (100.00%),4074.0
48,15407 (100.00%),-,-,15407.0
49,-,-,30234 (100.00%),30234.0
50,-,-,21137 (100.00%),21137.0
51,-,-,126774 (100.00%),126774.0
52,1 (0.00%),-,37355 (100.00%),37356.0
53,-,-,29726 (100.00%),29726.0
54,-,-,4116 (100.00%),4116.0
55,-,3 (0.01%),37710 (99.99%),37713.0
56,-,-,13845 (100.00%),13845.0
57,-,-,78082 (100.00%),78082.0
58,1 (0.00%),-,39521 (100.00%),39522.0
59,-,-,646 (100.00%),646.0
67,698 (100.00%),-,-,698.0
73,1160 (100.00%),-,-,1160.0
78,-,-,1986 (100.00%),1986.0
81,3613 (100.00%),-,-,3613.0
82,-,-,494 (100.00%),494.0
83,-,-,4 (100.00%),4.0
Total,683213.0,4.0,1513499.0,2196716.0
